,iteration,strategy,num_deliveries,completed_deliveries,total_time,computation_time
50,9,greedy,60,60,2.1068106732028493,3.3874921798706055
51,9,tsp,20,20,0.8187244166827177,0.36235809326171875
52,9,tsp,40,40,1.3290487218839777,1.3333251476287842
53,9,tsp,60,60,1.850806626331395,3.0402419567108154
54,10,greedy,20,20,1.2332760214478293,0.407271146774292
55,10,greedy,40,40,1.5030506933880452,1.550079107284546
56,10,greedy,60,60,1.855447293352764,3.245422124862671
57,10,tsp,20,20,1.180781245007115,0.36033010482788086
58,10,tsp,40,40,1.5406211727831285,1.3743751049041748
59,10,tsp,60,60,1.7851135870004893,3.2280631065368652
60,11,greedy,20,20,1.0343047446348388,0.4282200336456299
61,11,greedy,40,40,1.4994709289358688,1.7660160064697266
62,11,greedy,60,60,1.87086039322338,3.5071921348571777
63,11,tsp,20,20,1.029100682622851,0.3777201175689697
64,11,tsp,40,40,1.4517388906434185,1.556182861328125
65,11,tsp,60,60,1.7444499966432554,3.124645948410034
66,12,greedy,20,20,1.086625128127274,0.417661190032959
67,12,greedy,40,40,1.5471198224134581,1.4337069988250732
68,12,greedy,60,60,1.673165166565019,3.347442150115967
69,12,tsp,20,20,1.0337096204319693,0.3803739547729492
70,12,tsp,40,40,1.440283534126234,1.320681095123291
71,12,tsp,60,60,1.702704997218903,3.010368824005127
72,13,greedy,20,20,0.8392998402444511,0.35887980461120605
73,13,greedy,40,40,1.4296966910229896,1.6209537982940674
74,13,greedy,60,60,1.886622138491604,3.4419760704040527
75,13,tsp,20,20,0.9452607680972063,0.34477996826171875
76,13,tsp,40,40,1.4913712968496695,1.5071830749511719
77,13,tsp,60,60,1.796871068458308,3.1716229915618896
78,14,greedy,20,20,0.869502144265997,0.3638298511505127
79,14,greedy,40,40,1.238202766320495,1.54264497756958
80,14,greedy,60,60,1.7217720763484603,3.117603063583374
81,14,tsp,20,20,0.9081162102990669,0.3224301338195801
82,14,tsp,40,40,1.359597919421961,1.3824501037597656
83,14,tsp,60,60,1.5975588194007027,2.889307975769043
84,15,greedy,20,20,0.9568692648484144,0.3736379146575928
85,15,greedy,40,40,1.54990263859737,1.4905359745025635
86,15,greedy,60,60,1.7012279702670758,3.430698871612549
87,15,tsp,20,20,1.0009520641973737,0.29384326934814453
88,15,tsp,40,40,1.664011274767809,1.329240083694458
89,15,tsp,60,60,1.7969532889190727,3.4235997200012207
90,16,greedy,20,20,0.8863548948402304,0.3627002239227295
91,16,greedy,40,40,1.2017589690389738,1.616060733795166
92,16,greedy,60,60,1.4060831207415936,3.136837959289551
93,16,tsp,20,20,0.9532511761698629,0.3836507797241211
94,16,tsp,40,40,1.2861232000994307,1.4476168155670166
95,16,tsp,60,60,1.5477157402511958,2.9269750118255615
96,17,greedy,20,20,0.8117452810361823,0.3666400909423828
97,17,greedy,40,40,1.7398802842817762,1.490077018737793
98,17,greedy,60,60,1.896686233748381,3.1935110092163086
99,17,tsp,20,20,0.9023405428736957,0.296184778213501
100,17,tsp,40,40,1.470527865006346,1.3687658309936523
101,17,tsp,60,60,1.7172134483092723,2.9410560131073
102,18,greedy,20,20,1.0389542930097946,0.3791961669921875
103,18,greedy,40,40,1.5168512322181251,1.581484079360962
104,18,greedy,60,60,1.7385051614865954,3.5685787200927734
105,18,tsp,20,20,1.1495076246549845,0.3461787700653076
106,18,tsp,40,40,1.4819771366216903,1.4108831882476807
